,zh_CN,en,ja,zh_HK
随机对3名敌人造成%d点真实伤害，目标每有一种异常状态伤害提升50%%,随机对3名敌人造成%d点真实伤害，目标每有一种异常状态伤害提升50%%,"Deals %d True DMG to 3 random enemies, this DMG increases by 50%% for each debuff they have",ランダムな敵3名に%dの固定ダメージを与える、目標にかけられたデバフが1種ごとにこのダメージが50%%増加する,隨機對3名敵人造成%d點真實傷害，目標每有一種異常狀態傷害提升50%%
,,,,
震荡石,震荡石,Shock Stone,震動石,震蕩石
暴击时%d%%概率使目标眩晕%d层,暴击时%d%%概率使目标眩晕%d层,Has a %d%% chance to inflict %d stack(s) of Stunned when dealing Crit DMG,会心時、%d%%の確率で目標にスタンを%d層付与する,暴擊時%d%%概率使目標眩暈%d層
夺萃石,夺萃石,Deprivation Stone,奪魂石,奪萃石
击杀敌人时，回复%d%%已损失生命值,击杀敌人时，回复%d%%已损失生命值,"After killing an enemy, restores %d%% of HP lost",敵を倒した際、損失HPを%d%%回復する,擊殺敵人時，回復%d%%已損失生命值
狂战石,狂战石,Berserker Stone,狂乱石,狂戰石
每损失10%%生命值，技能伤害+%d%%,每损失10%%生命值，技能伤害+%d%%,"For every 10%% HP lost, +%d%% Skill DMG",HPを10%%損失する毎に、スキルダメージが%d%%増加する,每損失10%%生命值，技能傷害+%d%%
血伤石,血伤石,Cleaver Stone,血傷石,血傷石
目标每5层流血 +%d%%增伤,目标每5层流血 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Hemorrhaged on the target,目標の出血が5層毎にダメージ増加を%d%%増加する,目標每5層流血 +%d%%增傷
怒伤石,怒伤石,Crusher Stone,怒傷石,怒傷石
每5层狂怒 +%d%%增伤,每5层狂怒 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Berserked owned,激怒が5層毎にダメージ増加を%d%%増加する,每5層狂怒 +%d%%增傷
超伤石,超伤石,Hermit Stone,超傷石,超傷石
每5层超然 +%d%%增伤,每5层超然 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Transcendent owned,超然が5層毎にダメージ増加を%d%%増加する,每5層超然 +%d%%增傷
猎手石,猎手石,Hunter Stone,狩人石,獵手石
每距离目标1格，+%d%%增伤,每距离目标1格，+%d%%增伤,+%d%% DMG Boost for every tile between the user and the target,ダメージ増加を目標との距離マス数＊%d%%増加する,每距離目標1格，+%d%%增傷
会心石,会心石,Concentration Stone,会心石,會心石
普通攻击20%%概率造成目标%d%%最大生命值的真实伤害,普通攻击20%%概率造成目标%d%%最大生命值的真实伤害,"Normal Attack has a 20%% chance to deal True DMG to the target, the damage equals %d%% of the target's Max HP",20%%の確率で通常攻撃に目標の最大HP%d%%分の固定ダメージを追加で与える,普通攻擊20%%概率造成目標%d%%最大生命值的真實傷害
速伤石,速伤石,Flash Stone,速傷石,速傷石
每5层急速 +%d%%增伤,每5层急速 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Hasted owned,急速が5層毎にダメージ増加を%d%%増加する,每5層急速 +%d%%增傷
猛击石,猛击石,Bash Stone,猛撃石,猛擊石
普攻附带%d%%护盾量的物理伤害,普攻附带%d%%护盾量的物理伤害,Normal Attack deals an extra Physical DMG that equals %d%% of Shield Strength,通常攻撃に盾値%d%%の物理ダメージを付与する,普攻附帶%d%%護盾量的物理傷害
灭焰石,灭焰石,Ember Stone,滅炎石,滅焰石
被施加烧灼时，层数减半，对施加者施加%d层烧灼,被施加烧灼时，层数减半，对施加者施加%d层烧灼,"When inflicted with Burning, halves the stack number and inflicts %d stack(s) of Burning back to the attacker",火傷を付与された際、層数が半減し、付与した敵に%d層の火傷を付与する,被施加燒灼時，層數減半，對施加者施加%d層燒灼
去冻石,去冻石,Thaw Stone,除雪石,去凍石
被施加结霜时，层数减半，对施加者施加%d层结霜,被施加结霜时，层数减半，对施加者施加%d层结霜,"When inflicted with Frozen, halves the stack number and inflicts %d stack(s) of Frozen back to the attacker",霜降を付与された際、層数が半減し、付与した敵に%d層の霜降を付与する,被施加結霜時，層數減半，對施加者施加%d層結霜
缓麻石,缓麻石,Soberness Stone,抗麻石,緩麻石
被施加麻痹时，层数减半，对施加者施加%d层麻痹,被施加麻痹时，层数减半，对施加者施加%d层麻痹,"When inflicted with Paralyzed, halves the stack number and inflicts %d stack(s) of Paralyzed back to the attacker",麻痺を付与された際、層数が半減し、付与した敵に%d層の麻痺を付与する,被施加麻痹時，層數減半，對施加者施加%d層麻痹
御伤石,御伤石,Conversion Stone,護傷石,禦傷石
每5层抵御 +%d%%增伤,每5层抵御 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Armored owned,守護が5層毎にダメージ増加を%d%%増加する,每5層抵禦 +%d%%增傷
盗金石,盗金石,Goldpicker Stone,窃盗石（金）,盜金石
击杀敌人时，获取目标等级*%d的金币,击杀敌人时，获取目标等级*%d的金币,"After killing an enemy, gains Coins that equals %d*target level",敵を倒した際、倒した敵のレベル*%dの金貨を獲得する,擊殺敵人時，獲取目標等級*%d的金幣
盗魂石,盗魂石,Soulstealing Stone,窃盗石（魂）,盜魂石
击杀敌人时，获取目标等级*%d的魂,击杀敌人时，获取目标等级*%d的魂,"After killing an enemy, gains Essence that equals %d*target level",敵を倒した際、倒した敵のレベル*%dのソウルを獲得する,擊殺敵人時，獲取目標等級*%d的魂
无极石,无极石,Infinity Stone,無極石,無極石
暴击时，附加一次%d%%伤害量的真实伤害,暴击时，附加一次%d%%伤害量的真实伤害,"When dealing Crit DMG, deals extra True DMG that equals %d%% of the damage",会心時、ダメージ量%d%%分の固定ダメージを追加で与える,暴擊時，附加一次%d%%傷害量的真實傷害
狩猎石,狩猎石,Prey Stone,狩猟石,狩獵石
击杀敌人时，获得%d层狂怒和急速,击杀敌人时，获得%d层狂怒和急速,"After killing an enemy, gains %d stack(s) of Hasted and Berserked",敵を倒した際、%d層の狂怒と急速を獲得する,擊殺敵人時，獲得%d層狂怒和急速
斩杀石,斩杀石,Execution Stone,斬殺石,斬殺石
对生命值低于30%%的目标，+%d%%增伤,对生命值低于30%%的目标，+%d%%增伤,"Against targets with 30%% or lower HP, +%d%% DMG Boost ",残りHPが30%%以下の目標に対して、ダメージを%d%%増加する,對生命值低於30%%的目標，+%d%%增傷
转能石,转能石,Shield-generating Stone,転換石,轉能石
造成技能伤害时，获得%d%%伤害量的护盾,造成技能伤害时，获得%d%%伤害量的护盾,"When dealing skill damage, gains a shield with its strength equal to %d%% of the damage",スキルダメージに、ダメージ量%d%%の盾を獲得する,造成技能傷害時，獲得%d%%傷害量的護盾
麻伤石,麻伤石,Paralyzing Stone,麻傷石,麻傷石
目标每5层麻痹 +%d%%增伤,目标每5层麻痹 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Paralyzed on the target,目標の麻痺が5層毎にダメージ増加を%d%%増加する,目標每5層麻痹 +%d%%增傷
火伤石,火伤石,Scorching Stone,火傷石,火傷石
目标每5层烧灼 +%d%%增伤,目标每5层烧灼 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Burning on the target,目標の火傷が5層毎にダメージ増加を%d%%増加する,目標每5層燒灼 +%d%%增傷
冰伤石,冰伤石,Freezing Stone,氷傷石,冰傷石
目标每5层结霜 +%d%%增伤,目标每5层结霜 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Frozen on the target,目標の霜降が5層毎にダメージ増加を%d%%増加する,目標每5層結霜 +%d%%增傷
毒伤石,毒伤石,Erosion Stone,毒傷石,毒傷石
目标每5层中毒 +%d%%增伤,目标每5层中毒 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Poisoned on the target,目標の毒が5層毎にダメージ増加を%d%%増加する,目標每5層中毒 +%d%%增傷
法锋石,法锋石,Gandalf Stone,魔刃石,法鋒石
普通攻击附带%d%%法强的物理伤害,普通攻击附带%d%%法强的物理伤害,Normal Attack deals extra Physical DMG that equals %d%% Magic Power,通常攻撃に魔法攻撃力%d%%分の物理ダメージを追加で与える,普通攻擊附帶%d%%法強的物理傷害
威伤石,威伤石,Powersurge Stone,威傷石,威傷石
每5层威能 +%d%%增伤,每5层威能 +%d%%增伤,+%d%% DMG Boost for every 5 stacks of Empowered owned,神威が5層毎にダメージ増加を%d%%増加する,每5層威能 +%d%%增傷
治疗赋能石,治疗赋能石,Ultra Healing Stone,治療付与石,治療賦能石
施加治疗时，目标获得%d层超然和抵御,施加治疗时，目标获得%d层超然和抵御,"When healing a unit, they also gain %d stack(s) of Transcendent and Armored",治療をする際、目標に%d層の超然と守護を付与する,施加治療時，目標獲得%d層超然和抵禦
护盾赋能石,护盾赋能石,Holy Shield Stone,盾付与石,護盾賦能石
施加护盾时，目标获得%d层超然和抵御,施加护盾时，目标获得%d层超然和抵御,"When granting a shield to a unit, they also gain %d stack(s) of Transcendent and Armored",盾を付与する際、目標に%d層の超然と守護を付与する,施加護盾時，目標獲得%d層超然和抵禦
怒能石,怒能石,Encouragement Stone,怒能石,怒能石
施加护盾时，目标获得%d层狂怒和威能,施加护盾时，目标获得%d层狂怒和威能,"When granting shield to a unit, the target gains %d stack(s) of Berserked and Empowered as well",は盾を付与する際、目標に%d層の激怒と神威を付与する,施加護盾時，目標獲得%d層狂怒和威能
,,,,
定海神针,定海神针,Explosive Needle,如意棒,定海神針
普通攻击%d%%几率附加%d层破甲，技能伤害会消除目标破甲，每层破甲造成%d%%物理攻击的真实伤害,普通攻击%d%%几率附加%d层破甲，技能伤害会消除目标破甲，每层破甲造成%d%%物理攻击的真实伤害,Normal Attack has a %d%% chance to inflict %d stack(s) of Pierced; Skill DMG will remove Pierced and deals True DMG that equals %d%% Physical DMG for each stack removed,通常攻撃に%d%%の確率で%d層の破甲を付与する、スキルダメージにより目標の破甲は消費し、破甲の層数＊物理攻撃力%d%%分の固定ダメージを与える,普通攻擊%d%%幾率附加%d層破甲，技能傷害會消除目標破甲，每層破甲造成%d%%物理攻擊的真實傷害
冰之矢,冰之矢,Arrow of Ice,氷の矢,冰之矢
附加结霜时自身获得同样层数的急速，且普通攻击%d%%的几率附加%d层结霜,附加结霜时自身获得同样层数的急速，且普通攻击%d%%的几率附加%d层结霜,"When inflicting Frozen, gains Hasted of the same number of stack; Normal Attack has a %d%% chance to inflict %d stack(s) of Frozen",霜降を付与する際、自身も同じ層数の急速を獲得する。%d%%の確率で通常攻撃に%d層の霜降を付与する,附加結霜時自身獲得同樣層數的急速，且普通攻擊%d%%的幾率附加%d層結霜
远古巨钳,远古巨钳,Ancient Huge Claw,エンシェントクロー,遠古巨鉗
每获得5层抵御，恢复%d%%最大生命值,每获得5层抵御，恢复%d%%最大生命值,Restores %d%% Max HP for every 5 stacks of Armored owned,守護を5層獲得する毎に、HPを最大HP%d%%分回復する,每獲得5層抵禦，恢復%d%%最大生命值
水光刃,水光刃,Blade of Water,水面の刃,水光刃
本场战斗每击杀一个单位 +%d的穿透,本场战斗每击杀一个单位 +%d的穿透,+%d Penetration for every unit killed in the current battle,この戦闘にて敵ユニットを1体倒した度に貫通が%d増加する,本場戰鬥每擊殺一個單位 +%d的穿透
元素法杖,元素法杖,Element Staff,元素の杖,元素法杖
施加负面状态时，每%d层负面状态对目标造成%d%%的魔法伤害,施加负面状态时，每%d层负面状态对目标造成%d%%的魔法伤害,"When inflicting a debuff, for every %d stack(s) of debuff they own, deals %d%% Magic DMG to the target",デバフを付与する際、デバフが%d層毎に%d%%の魔法ダメージを与える,施加負面狀態時，每%d層負面狀態對目標造成%d%%的魔法傷害
星耀短杖,星耀短杖,Starlight Wand,星屑の杖,星耀短杖
施放治疗或者护盾会为目标附加%d层随机增益,施放治疗或者护盾会为目标附加%d层随机增益,Healing a target or granting them a shield will apply %d stack(s) of a random buff on them.,治療もしくは盾を付与する際、目標にランダムなバフを%d層付与する,施放治療或者護盾會為目標附加%d層隨機增益
