,zh_CN,en,ja,zh_HK
雷罚净世,雷罚净世,Electro Surge,雷の罰災,雷罰凈世
对目标造成%d%%的魔法伤害，附加10层麻痹，并使下一个技能伤害提升%d%%,对目标造成%d%%的魔法伤害，附加10层麻痹，并使下一个技能伤害提升%d%%,"Deals %d%% Magic DMG to the target, inflicting 10 stacks of Paralyzed and increasing the DMG of the next skill by %d%%",目標に対し%d%%の魔法ダメージを与え、10層の麻痺を付与する。次に発動するスキルのダメージが%d%%増加する。,對目標造成%d%%的魔法傷害，附加10層麻痹，並使下一個技能傷害提升%d%%
立誓之枪,立誓之枪,Spear of Faith,誓いの槍,立誓之槍
普攻时使周围1格友军获得帕拉丁%d%%最大生命值的护盾,普攻时使周围1格友军获得帕拉丁%d%%最大生命值的护盾,Normal Attack will grant allies within a radius of 1 tile around Paladin a shield and its strength equals %d%% of his Max HP,通常攻撃時、周囲1マスの味方はパラディンの最大HP%d%%分の盾を獲得する。,普攻時使周圍1格友軍獲得帕拉丁%d%%最大生命值的護盾
噬魂斩,噬魂斩,Soul Devourer,ソウルイーター,噬魂斬
对周围1格敌人造成%d%%目标最大生命值的物理伤害，获得%d层5种不同的增益状态，回复%d%%物理攻击的生命值和护盾值,对周围1格敌人造成%d%%目标最大生命值的物理伤害，获得%d层5种不同的增益状态，回复%d%%物理攻击的生命值和护盾值,"Deals Physical DMG to enemies within 6 tiles around, the damage equals %d%% of their Max HP; grants 5 different buffs, each of %d stack(s), and restores HP and Shield Strength that equal %d%% Physical Attack",周囲1マスの敵に最大HP%d%%分の物理ダメージを与え、%d層のバフをランダムで5つ獲得し、物理攻撃力%d%%分のHPと盾値を回復,對周圍1格敵人造成%d%%目標最大生命值的物理傷害，獲得%d層5種不同的增益狀態，回復%d%%物理攻擊的生命值和護盾值
地爆天星,地爆天星,Planetary Devastation,地爆天星,地爆天星
对周围1格敌人造成%d%%目标最大生命值的真实伤害，附加%d层5种不同的负面状态,对周围1格敌人造成%d%%目标最大生命值的真实伤害，附加%d层5种不同的负面状态,"Deals True DMG to enemies within the radius of 1 tile around, the damage equals %d%% of their Max HP, and inflicts them with %d stack(s) of 5 different debuffs",周囲1マス内の敵にその敵自身の最大HP%d%%分の固定ダメージを与え、%d層の異なるデバフを5つ付与する,對周圍1格敵人造成%d%%目標最大生命值的真實傷害，附加%d層5種不同的負面狀態
飞沙走石,飞沙走石,Sandy Gale,飛礫,飛沙走石
通常普攻时额外对2个敌人造成%d%%的物理伤害，触发攻击特效,通常普攻时额外对2个敌人造成%d%%的物理伤害，触发攻击特效,"Usually normal Attack deals %d%% Physical DMG to 2 extra enemies, triggering on-hit effects",通常攻撃時、追加で2名の敵に%d%%の物理ダメージを与え、攻撃効果を発動する,普攻時額外對2個敵人造成%d%%的物理傷害，觸發攻擊特效
尖刺甲壳,尖刺甲壳,Spiky Shell,棘の甲羅,尖刺甲殼
"物理防御提升%d%%,普通攻击%d%%的几率造成%d%%的物理防御的物理伤害和%d层麻痹","物理防御提升%d%%,普通攻击%d%%的几率造成%d%%的物理防御的物理伤害和%d层麻痹","Physical Defense increases by %d%%, Normal Attacks have %d%% chance to deal Physical Damage equals to %d%% of the Physical Defense and inflict %d Stack(s) of Paralyzed",物理防御力が %d%% 増加、通常攻撃力 %d%% 物理ダメージを与える確率 %d%%、層麻痺 %d,"物理防禦提升%d%%,普通攻擊%d%%的幾率造成%d%%的物理防禦的物理傷害和%d層麻痹"
阎罗刀刃,阎罗刀刃,Hellish Blade,閻魔の太刀,閻羅刀刃
闪现敌方后排，普攻暴击时额外造成%d%%攻击力的真实伤害,闪现敌方后排，普攻暴击时额外造成%d%%攻击力的真实伤害,Flashes to the back row of the enemy team and deals True DMG that equals %d%% Physical Attack when dealing Crit DMG during Normal Attacks,敵後列に瞬間移動する。会心攻撃時に攻撃力%d%%分の固定ダメージを追加で与える。,閃現敵方後排，普攻暴擊時額外造成%d%%攻擊力的真實傷害
鲜血飞弹,鲜血飞弹,Blood Missile,血の魔法弾,鮮血飛彈
施放5发鲜血飞弹攻击随机敌人，每发造成%d%%的魔法伤害，附加10层流血，冷却速度能够增加飞弹数量,施放5发鲜血飞弹攻击随机敌人，每发造成%d%%的魔法伤害，附加10层流血，冷却速度能够增加飞弹数量,"Launches 5 Blood Missiles to attack random enemies, each missile dealing %d%% Magic DMG and inflicting 10 stacks of Hemorrhaged; with higher Cooldown Speed, more missiles will be generated",血の魔法弾を5発放ち、ランダムな敵を攻撃する。それぞれ%d%%の魔法ダメージを与え、出血を10層付与する。CD短縮速度により魔法弾の数を増やすことができる。,施放5發鮮血飛彈攻擊隨機敵人，每發造成%d%%的魔法傷害，附加10層流血，冷卻速度能夠增加飛彈數量
毒雾,毒雾,Poison Mist,毒の霧,毒霧
打击2格范围敌人，造成%d%%魔法伤害，附加%d层中毒。而范围内友军则回复%d%%魔法攻击的生命值,打击2格范围敌人，造成%d%%魔法伤害，附加%d层中毒。而范围内友军则回复%d%%魔法攻击的生命值,"Poisons enemies within a radius of 2 tiles, dealing %d%% Magic DMG and inflicting %d stack(s) of Poisoned; allies within range restore HP by %d%% of the Magic Power",2マス内の敵を攻撃し、%d%%の魔法ダメージを与え、%d層の毒を付与する。範囲内の味方は魔法攻撃力%d%%分のHPを回復する。,打擊2格範圍敵人，造成%d%%魔法傷害，附加%d層中毒。而範圍內友軍則回復%d%%魔法攻擊的生命值
,,,,
身外化身,身外化身,Avatar,身外身の術,身外化身
开战时在前方召唤%d个分身，只要本体存活分身死亡时就会重新召唤，分身减少%d%%的增伤和减伤,开战时在前方召唤%d个分身，只要本体存活分身死亡时就会重新召唤，分身减少%d%%的增伤和减伤,"Summons %d Avatar(s) of self before a battle starts; the Avatar will be re-summoned as long as the unit is alive, and it has %d%% less DMG Boost and DMG Reduction",戦闘開始時、前方に分身を%d個召喚し、本体が生存している限り、分身は倒されても再召喚される。分身のダメージ増加と被ダメージ軽減は%d%%減少される,開戰時在前方召喚%d個分身，只要本體存活分身死亡時就會重新召喚，分身減少%d%%的增傷和減傷
水弹喷发,水弹喷发,Quick Spray,水弾噴射,水彈噴發
获得%d层急速，身上每有%d层急速便发射一颗水弹造成%d%%的真实伤害,获得%d层急速，身上每有%d层急速便发射一颗水弹造成%d%%的真实伤害,"Gains %d stack(s) of Hasted and fires one water bullet for every %d stack(s) of Hasted gained, dealing %d%% True DMG",%d層の急速を獲得、自身の急速が%d層ある毎に水弾を1発発射し、%d%%の固定ダメージを与える,獲得%d層急速，身上每有%d層急速便發射一顆水彈造成%d%%的真實傷害
蟹甲,蟹甲,Crab Shell,蟹甲,蟹甲
每2秒获得%d层抵御，受到技能伤害时，会消耗自身%d层抵御来抵消一次伤害,每2秒获得%d层抵御，受到技能伤害时，会消耗自身%d层抵御来抵消一次伤害,"Gains %d stack(s) of Armored every 2 seconds; when taking Skill DMG, consumes %d stack(s) of Armored to offset the damage once",2秒ごとに守護を%d層獲得する、スキルダメージを受けた際、自身の守護を%d層消費し、ダメージを打ち消す,每2秒獲得%d層抵禦，受到技能傷害時，會消耗自身%d層抵禦來抵消一次傷害
水隐刀,水隐刀,Shadow Blade,水隠刀,水隱刀
开战时闪现至血量最低的敌人旁，获得%d层隐身，隐身期间普攻附加%d%%物理攻击的真实伤害,开战时闪现至血量最低的敌人旁，获得%d层隐身，隐身期间普攻附加%d%%物理攻击的真实伤害,"When a battle starts, flashes to the enemy with the lowest HP and gains %d stack(s) of Invisible; under the Invisible state, Normal Attack deals True DMG that equals %d%% Physical Attack",戦闘開始時に敵のHPが最も低いユニットの傍に瞬間移動し、インビジブルを%d層獲得する。インビジブル期間中、通常攻撃に物理攻撃力%d%%分の固定ダメージを付与する,開戰時閃現至血量最低的敵人旁，獲得%d層隱身，隱身期間普攻附加%d%%物理攻擊的真實傷害
冰结,冰结,Bonechiller,氷結,冰結
对敌方最虚弱的单位造成%d%%的魔法伤害附加%d眩晕，而他周围敌人受到%d%%的魔法伤害附加%d层结霜,对敌方最虚弱的单位造成%d%%的魔法伤害附加%d眩晕，而他周围敌人受到%d%%的魔法伤害附加%d层结霜,"Deals %d%% Magic DMG to the enemy with the lowest HP, inflicting %d stack(s) of Stunned; enemies around the target take %d%% Magic DMG and are inflicted with %d stack(s) of Frozen",敵のHPが最も低いユニットに%d%%の魔法ダメージを与え、%d層のスタンを付与する。その敵の周囲にいる敵は%d%%の魔法ダメージを受け、%d層の霜降を付与される,對敵方最虛弱的單位造成%d%%的魔法傷害附加%d眩暈，而他周圍敵人受到%d%%的魔法傷害附加%d層結霜
水疗,水疗,Healing of Water,水の治療,水療
最近%d个友军回复%d%%魔法攻击的生命值和%d层随机增益，目标每5层增益治疗效果提升%d%%,最近%d个友军回复%d%%魔法攻击的生命值和%d层随机增益，目标每5层增益治疗效果提升%d%%,The nearest %d allies restore HP that equals %d%% Magic Power and gain %d stack(s) of a random buff; increases Healing Received by %d%% for every 5 stack(s) buffs they own,直近の味方%d体のHPを魔法攻撃力%d%%分回復し、ランダムなバフを%d層付与する。目標のバフが5層毎にこの治療効果が%d%%増加する,最近%d個友軍回復%d%%魔法攻擊的生命值和%d層隨機增益，目標每5層增益治療效果提升%d%%
